Quantidade,Sensor
227, Sensor 2: 4.19
228, Sensor 1: 6.75
229, Sensor 2: 4.19
230, Sensor 1: 6.89
231, Sensor 2: 4.32
232, Sensor 1: 6.89
233, Sensor 2: 4.46
234, Sensor 1: 6.75
235, Sensor 2: 4.32
236, Sensor 1: 6.89
237, Sensor 2: 4.32
238, Sensor 1: 6.75
239, Sensor 2: 4.32
240, Sensor 1: 6.89
241, Sensor 2: 4.32
242, Sensor 1: 6.75
243, Sensor 2: 4.32
244, Sensor 1: 6.61
245, Sensor 2: 4.32
246, Sensor 1: 6.75
247, Sensor 2: 4.46
248, Sensor 1: 6.75
249, Sensor 2: 4.32
250, Sensor 1: 6.75
251, Sensor 2: 4.32
252, Sensor 1: 6.61
253, Sensor 2: 4.46
254, Sensor 1: 6.75
255, Sensor 2: 4.32
256, Sensor 1: 6.75
257, Sensor 2: 4.32
258, Sensor 1: 6.61
259, Sensor 2: 4.32
260, Sensor 1: 6.61
261, Sensor 2: 4.32
262, Sensor 1: 6.61
263, Sensor 2: 4.32
264, Sensor 1: 6.61
265, Sensor 2: 4.32
266, Sensor 1: 6.61
267, Sensor 2: 4.19
268, Sensor 1: 6.75
269, Sensor 2: 4.19
270, Sensor 1: 6.61
271, Sensor 2: 4.32
272, Sensor 1: 6.61
273, Sensor 2: 4.19
274, Sensor 1: 6.75
275, Sensor 2: 4.19
276, Sensor 1: 6.61
277, Sensor 2: 4.32
278, Sensor 1: 6.61
279, Sensor 2: 4.19
280, Sensor 1: 6.75
281, Sensor 2: 4.19
282, Sensor 1: 6.75
283, Sensor 2: 4.19
284, Sensor 1: 6.75
285, Sensor 2: 4.19
286, Sensor 1: 6.89
287, Sensor 2: 4.32
288, Sensor 1: 6.89
289, Sensor 2: 4.32
290, Sensor 1: 7.02
291, Sensor 2: 4.46
292, Sensor 1: 6.89
293, Sensor 2: 4.46
294, Sensor 1: 7.02
295, Sensor 2: 4.46
296, Sensor 1: 6.89
297, Sensor 2: 4.46
298, Sensor 1: 7.02
299, Sensor 2: 4.46
300, Sensor 1: 6.89
301, Sensor 2: 4.46
302, Sensor 1: 6.89
303, Sensor 2: 4.59
304, Sensor 1: 6.75
305, Sensor 2: 4.46
306, Sensor 1: 6.75
307, Sensor 2: 4.46
308, Sensor 1: 6.75
309, Sensor 2: 4.46
310, Sensor 1: 6.75
311, Sensor 2: 4.59
312, Sensor 1: 6.61
313, Sensor 2: 4.46
314, Sensor 1: 6.75
315, Sensor 2: 4.46
316, Sensor 1: 6.61
317, Sensor 2: 4.46
