Quantidade,Sensor,mL
245,Sensor 2,4.46
246,Sensor 1,7.83
247,Sensor 2,4.32
248,Sensor 1,7.70
249,Sensor 2,4.46
250,Sensor 1,7.83
251,Sensor 2,4.32
252,Sensor 1,7.83
253,Sensor 2,4.46
254,Sensor 1,7.83
255,Sensor 2,4.32
256,Sensor 1,7.83
257,Sensor 2,4.46
258,Sensor 1,7.70
259,Sensor 2,4.32
260,Sensor 1,7.83
261,Sensor 2,4.32
262,Sensor 1,7.56
263,Sensor 2,4.32
264,Sensor 1,7.70
265,Sensor 2,4.19
266,Sensor 1,7.56
267,Sensor 2,4.32
268,Sensor 1,7.70
269,Sensor 2,4.19
270,Sensor 1,7.70
271,Sensor 2,4.19
272,Sensor 1,7.56
273,Sensor 2,4.32
274,Sensor 1,7.56
275,Sensor 2,4.19
276,Sensor 1,7.70
277,Sensor 2,4.19
278,Sensor 1,7.56
279,Sensor 2,4.05
280,Sensor 1,7.70
281,Sensor 2,3.92
282,Sensor 1,7.56
283,Sensor 2,3.92
284,Sensor 1,7.70
285,Sensor 2,3.78
286,Sensor 1,7.70
287,Sensor 2,3.78
288,Sensor 1,7.70
289,Sensor 2,3.65
290,Sensor 1,7.83
291,Sensor 2,3.78
292,Sensor 1,7.83
293,Sensor 2,3.78
294,Sensor 1,7.83
295,Sensor 2,3.65
296,Sensor 1,7.83
297,Sensor 2,3.78
298,Sensor 1,7.83
299,Sensor 2,3.78
300,Sensor 1,7.83
301,Sensor 2,3.78
302,Sensor 1,7.70
303,Sensor 2,3.78
304,Sensor 1,7.83
305,Sensor 2,3.65
306,Sensor 1,7.70
307,Sensor 2,3.78
308,Sensor 1,7.83
309,Sensor 2,3.65
310,Sensor 1,7.70
311,Sensor 2,3.65
312,Sensor 1,7.83
313,Sensor 2,3.65
314,Sensor 1,7.56
315,Sensor 2,4.19
316,Sensor 1,7.56
317,Sensor 2,4.32
318,Sensor 1,7.56
319,Sensor 2,4.46
320,Sensor 1,7.43
321,Sensor 2,4.19
322,Sensor 1,7.56
323,Sensor 2,4.05
324,Sensor 1,7.56
325,Sensor 2,4.19
326,Sensor 1,7.43
327,Sensor 2,3.92
328,Sensor 1,7.43
329,Sensor 2,4.05
330,Sensor 1,7.56
331,Sensor 2,4.05
332,Sensor 1,7.56
333,Sensor 2,4.05
334,Sensor 1,7.43
335,Sensor 2,4.05
336,Sensor 1,7.43
337,Sensor 2,4.05
338,Sensor 1,7.56
339,Sensor 2,4.05
340,Sensor 1,7.43
341,Sensor 2,4.05
342,Sensor 1,7.56
343,Sensor 2,3.92
344,Sensor 1,7.56
345,Sensor 2,4.05
346,Sensor 1,7.56
347,Sensor 2,4.05
348,Sensor 1,7.56
349,Sensor 2,4.05
350,Sensor 1,7.56
351,Sensor 2,4.05
352,Sensor 1,7.56
353,Sensor 2,4.05
354,Sensor 1,7.56
355,Sensor 2,4.19
356,Sensor 1,7.70
357,Sensor 2,4.05
358,Sensor 1,7.70
359,Sensor 2,4.19
360,Sensor 1,7.56
361,Sensor 2,4.05
362,Sensor 1,7.83
363,Sensor 2,4.19
364,Sensor 1,7.83
365,Sensor 2,4.05
366,Sensor 1,7.70
367,Sensor 2,4.05
368,Sensor 1,7.83
369,Sensor 2,4.19
370,Sensor 1,7.83
371,Sensor 2,4.19
372,Sensor 1,7.70
373,Sensor 2,4.05
374,Sensor 1,7.83
375,Sensor 2,4.32
376,Sensor 1,7.83
377,Sensor 2,4.19
378,Sensor 1,7.83
379,Sensor 2,4.05
380,Sensor 1,7.83
381,Sensor 2,4.19
382,Sensor 1,7.97
383,Sensor 2,4.19
384,Sensor 1,7.70
385,Sensor 2,4.19
386,Sensor 1,7.83
387,Sensor 2,4.05
388,Sensor 1,7.83
389,Sensor 2,4.05
390,Sensor 1,7.70
391,Sensor 2,4.19
392,Sensor 1,7.70
393,Sensor 2,4.05
394,Sensor 1,7.70
395,Sensor 2,4.05
396,Sensor 1,7.83
397,Sensor 2,4.19
398,Sensor 1,7.70
399,Sensor 2,4.05
400,Sensor 1,7.70
401,Sensor 2,4.05
402,Sensor 1,7.83
403,Sensor 2,4.19
404,Sensor 1,7.83
405,Sensor 2,4.19
406,Sensor 1,7.83
407,Sensor 2,4.05
408,Sensor 1,7.83
409,Sensor 2,4.32
410,Sensor 1,7.70
411,Sensor 2,4.19
412,Sensor 1,7.83
413,Sensor 2,4.32
414,Sensor 1,7.70
415,Sensor 2,4.19
416,Sensor 1,7.83
417,Sensor 2,4.32
418,Sensor 1,7.70
419,Sensor 2,4.32
420,Sensor 1,7.70
421,Sensor 2,4.32
422,Sensor 1,7.70
423,Sensor 2,4.32
424,Sensor 1,7.56
425,Sensor 2,4.46
426,Sensor 1,7.70
427,Sensor 2,4.32
428,Sensor 1,7.70
429,Sensor 2,4.19
430,Sensor 1,7.70
431,Sensor 2,4.32
432,Sensor 1,7.70
433,Sensor 2,4.19
434,Sensor 1,7.83
435,Sensor 2,4.19
436,Sensor 1,7.70
437,Sensor 2,4.19
438,Sensor 1,7.83
439,Sensor 2,4.05
440,Sensor 1,7.70
441,Sensor 2,3.78
442,Sensor 1,7.83
443,Sensor 2,3.78
444,Sensor 1,7.70
445,Sensor 2,3.78
446,Sensor 1,7.70
447,Sensor 2,3.78
448,Sensor 1,7.83
449,Sensor 2,3.92
450,Sensor 1,7.70
451,Sensor 2,4.05
452,Sensor 1,7.70
453,Sensor 2,3.92
454,Sensor 1,7.70
455,Sensor 2,3.92
456,Sensor 1,7.70
457,Sensor 2,3.92
458,Sensor 1,7.70
459,Sensor 2,3.92
460,Sensor 1,7.70
